Age,Job,Saving accounts,Checking account,Credit amount,Duration,Sex_female,Sex_male,Housing_free,Housing_own,Housing_rent,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
-0.9563612349193206,2,1.0,2.0,-0.7130007400021645,-0.7335121029446755,True,False,False,False,True,False,True,False,False,False,False,False,False
-1.0477167022287535,1,2.0,0.0,-0.6108694770005,-0.2315976630020822,True,False,False,False,True,True,False,False,False,False,False,False,False
0.04854890548444138,2,1.0,0.0,0.3606868966820007,-0.2315976630020822,False,True,False,True,False,True,False,False,False,False,False,False,False
-1.4131385714664852,2,1.0,2.0,-0.4616007079980673,0.2703167769405111,True,False,False,True,False,False,False,False,False,False,True,False,False
0.3226153074127401,1,1.0,0.0,1.5065772211292474,-0.8171645096017744,False,True,False,True,False,False,True,False,False,False,False,False,False
0.2312598401033072,2,1.0,0.0,-0.8966873705289676,-0.7335121029446755,False,True,False,True,False,False,False,False,False,False,True,False,False
0.5053262420316059,2,2.0,2.0,-0.26107925389956116,0.7722312168831045,False,True,False,True,False,True,False,False,False,False,False,False,False
-1.0477167022287535,2,1.0,1.0,2.4048085854772197,1.2741456568256977,False,True,False,True,False,False,True,False,False,False,False,False,False
1.2361699805070692,2,1.0,1.0,-1.0373516741503077,-1.2354265428872688,True,False,False,True,False,False,False,False,False,True,False,False,False
-1.1390721695381865,2,1.0,0.0,-0.7350730642406195,-0.9844693229159722,True,False,False,False,True,False,False,True,False,False,False,False,False
-0.49958389837215605,2,1.0,0.0,-0.739562350526407,-0.9844693229159722,False,True,False,True,False,False,True,False,False,False,False,False,False
-1.0477167022287535,1,1.0,1.0,-0.5439042899041705,0.2703167769405111,False,True,False,True,False,False,False,False,False,True,False,False,False
0.41397077472217303,1,3.0,0.0,-0.6000203684765136,-0.9008169162588733,False,True,False,False,True,False,True,False,False,False,False,False,False
-0.042806561824991526,2,0.0,1.0,-0.6808275216206878,0.2703167769405111,True,False,False,True,False,False,True,False,False,False,False,False,False
-0.49958389837215605,3,2.0,1.0,-0.3561024802820622,-0.2315976630020822,False,True,False,True,False,False,True,False,False,False,False,False,False
0.3226153074127401,1,1.0,1.0,-0.40361409347331273,-0.7335121029446755,False,True,False,False,True,False,True,False,False,False,False,False,False
-0.8650057676098877,2,1.0,1.0,1.8810585188020172,1.2741456568256977,False,True,False,True,False,False,True,False,False,False,False,False,False
-1.3217831041570522,2,1.0,0.0,4.65843030094252,3.281803416596071,False,True,False,True,False,False,False,False,False,False,True,False,False
0.3226153074127401,2,1.0,1.0,2.6547121887193876,2.2779745367108846,False,True,True,False,False,False,True,False,False,False,False,False,False
0.9621035785787705,2,1.0,1.0,-0.3190658684243157,1.2741456568256977,False,True,False,True,False,False,False,False,False,True,False,False,False
-0.13416202913442443,2,1.0,2.0,0.9723521531205408,1.2741456568256977,False,True,False,True,False,False,True,False,False,False,False,False,False
-0.042806561824991526,1,1.0,0.0,-0.19336585242226711,0.2703167769405111,False,True,False,True,False,False,False,False,False,False,True,False,False
3.520056663242892,3,1.0,2.0,0.7213262283069258,-0.9844693229159722,True,False,True,False,False,False,True,False,False,False,False,False,False
-1.2304276368476192,2,4.0,2.0,-0.8207436108610633,-0.7335121029446755,False,True,False,True,False,False,True,False,False,False,False,False,False
0.2312598401033072,2,0.0,2.0,-1.0597981055792451,-1.2354265428872688,False,True,False,True,False,False,False,False,False,False,True,False,False
0.04854890548444138,3,2.0,2.0,1.4089352444133703,0.2703167769405111,False,True,False,False,True,True,False,False,False,False,False,False,False
-0.590939365681589,0,0.0,2.0,0.29521813834760036,1.2741456568256977,True,False,False,True,False,False,False,True,False,False,False,False,False
-0.13416202913442443,3,1.0,2.0,-0.06878815799166538,-0.7335121029446755,True,False,False,False,True,False,False,False,False,True,False,False,False
-1.1390721695381865,2,1.0,1.0,-1.029869530340662,-1.2354265428872688,True,False,False,True,False,False,False,False,True,False,False,False,False
-0.22551749644385735,2,1.0,3.0,1.1552905692663793,1.7760600967682911,False,True,False,True,False,True,False,False,False,False,False,False,False
1.2361699805070692,2,1.0,1.0,-0.8091462879561124,-0.9008169162588733,False,True,False,True,False,False,True,False,False,False,False,False,False
-0.7736503003004548,2,1.0,0.0,2.037809431614096,0.2703167769405111,False,True,False,True,False,True,False,False,False,False,False,False,False
-0.590939365681589,1,1.0,1.0,0.1455752621546854,-0.7335121029446755,False,True,False,True,False,False,False,False,False,True,False,False,False
-0.6822948329910219,2,4.0,0.0,-0.39613194966366694,-0.8171645096017744,False,True,False,True,False,True,False,False,False,False,False,False,False
